Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,31.308036311127903
FDW14,OUT017,24.91465995086767
NCN55,OUT010,68.68181809708028
FDQ58,OUT017,43.90868543421381
FDY38,OUT027,66.47410310944726
FDH56,OUT046,33.385142555230324
FDL48,OUT018,15.005432554466658
FDC48,OUT027,23.368452535000355
FDN33,OUT045,27.201014838688458
FDA36,OUT017,52.802063693303026
FDT44,OUT017,34.06868136762372
FDQ56,OUT045,24.299687518520138
NCC54,OUT019,68.22525625405811
FDU11,OUT049,34.59224377137942
DRL59,OUT013,15.405892911936162
FDM24,OUT049,42.90645478183641
FDI57,OUT045,56.84576369160497
DRC12,OUT018,54.898209983645735
NCM42,OUT027,31.42482377768218
FDA46,OUT010,55.137211568236175
FDA31,OUT013,49.53463890807663
NCJ31,OUT035,68.41117751910731
FDG52,OUT046,14.05318263891384
NCL19,OUT019,40.61054513615412
FDS10,OUT035,51.733776053562124
FDX22,OUT010,59.205580857244456
NCF19,OUT035,13.976436201922926
NCE06,OUT046,45.636701394166046
DRC27,OUT046,69.45715198974675
FDE21,OUT035,33.3581336063566
NCR42,OUT019,9.60362672389604
FDX51,OUT018,55.24570072200628
NCR06,OUT018,12.485544367771627
FDU31,OUT027,61.82064630589098
FDU59,OUT017,46.441632043162066
FDR03,OUT027,58.25839588070884
FDS49,OUT027,23.18511977780539
FDD48,OUT010,32.53135856219301
NCF18,OUT017,54.9137755503252
NCD43,OUT027,29.651791256629792
NCD54,OUT018,41.32015363350017
FDY19,OUT010,33.74098411113567
NCY54,OUT017,49.31434354967489
NCL19,OUT018,41.443901240914585
FDP23,OUT010,61.37854145956439
FDC26,OUT013,32.021428189938526
FDR14,OUT010,16.272259207752505
NCS41,OUT035,52.132008088019234
FDF41,OUT035,70.36378008200731
FDU34,OUT046,35.99024639877402
DRH11,OUT046,16.294594788081536
FDM03,OUT013,30.597559445822174
FDS31,OUT017,51.51574836438786
FDJ20,OUT017,35.39557556772111
FDV44,OUT027,53.65696810032339
FDG02,OUT049,53.43826909137278
FDA09,OUT013,51.13550604267039
FDT04,OUT013,11.608281712773431
FDL58,OUT019,74.64130365059307
FDE52,OUT045,25.814017273806446
FDW12,OUT035,41.09615259563182
FDL51,OUT017,61.44692089977958
NCY42,OUT027,40.32688295564324
FDR07,OUT017,28.24241252925301
FDN40,OUT045,43.19418630033157
FDB35,OUT027,25.999745910867826
FDA22,OUT017,46.96084880748353
NCL06,OUT046,74.53151778551309
FDI35,OUT013,51.62516601809696
NCW42,OUT045,63.197179523538274
NCX06,OUT049,51.471860386899515
FDC37,OUT027,31.00448322701216
FDZ14,OUT018,34.74799824687019
DRG49,OUT049,69.32014612179479
NCG06,OUT045,72.83744831703936
DRC36,OUT045,49.45001475940084
FDV21,OUT019,35.74664681531987
FDB53,OUT046,42.43460024126953
DRP47,OUT019,71.62040449831703
FDA14,OUT013,41.583314081518026
DRC24,OUT035,43.77925077971071
FDW21,OUT018,28.506538047176658
NCH29,OUT046,27.602558765586014
FDU58,OUT013,53.343291682712454
FDY27,OUT017,50.22260303377183
FDV56,OUT035,31.385999696508446
FDT59,OUT046,65.4715778238983
FDB23,OUT046,64.3228497573036
FDR49,OUT045,13.39832710368497
FDB03,OUT010,69.0107770720046
FDN39,OUT045,47.52911981612502
FDX02,OUT027,63.342822625544684
FDQ16,OUT027,30.892925481996194
FDU35,OUT018,28.247558146625394
NCT29,OUT013,34.929090553659776
FDZ27,OUT046,13.869953473156572
FDN57,OUT017,40.34937396652347
FDA03,OUT018,41.821399650461906
FDZ36,OUT045,52.48743635883256
NCU05,OUT013,23.360874194595752
FDT39,OUT018,42.7587117572323
FDK60,OUT017,28.11544890817095
FDZ25,OUT017,48.3362229215814
FDG12,OUT046,34.611676707925305
DRB01,OUT019,54.474209417924556
NCC43,OUT027,71.07569890018522
FDX13,OUT019,70.51218117534764
FDM22,OUT049,15.563661228054121
FDJ03,OUT027,14.324400456409135
FDU14,OUT018,71.0761252853898
FDB33,OUT010,45.553759883710335
FDP27,OUT046,53.98991186586259
