Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,31.252091618625073
FDW14,OUT017,24.86990627434408
NCN55,OUT010,68.558172591065
FDQ58,OUT017,43.82956194410381
FDY38,OUT027,66.35439786746583
FDH56,OUT046,33.325134452039364
FDL48,OUT018,14.978941596366958
FDC48,OUT027,23.32661762619958
FDN33,OUT045,27.15210218458226
FDA36,OUT017,52.70682170496087
FDT44,OUT017,34.00765959911067
FDQ56,OUT045,24.256020495511397
NCC54,OUT019,68.10240684122911
FDU11,OUT049,34.529913567697946
DRL59,OUT013,15.378574890911755
FDM24,OUT049,42.82913261973471
FDI57,OUT045,56.74365212741347
DRC12,OUT018,54.79955151237559
NCM42,OUT027,31.368432317973767
FDA46,OUT010,55.03805586118865
FDA31,OUT013,49.445378011760006
NCJ31,OUT035,68.2881936435865
FDG52,OUT046,14.028233436092606
NCL19,OUT019,40.53755063347698
FDS10,OUT035,51.64087690768926
FDX22,OUT010,59.09880212590476
NCF19,OUT035,13.951593841026646
NCE06,OUT046,45.55443986022792
DRC27,OUT046,69.33206431947433
FDE21,OUT035,33.298248849072706
NCR42,OUT019,9.586691674716237
FDX51,OUT018,55.146154991322675
NCR06,OUT018,12.4633702770708
FDU31,OUT027,61.709314538768766
FDU59,OUT017,46.35791644767243
FDR03,OUT027,58.15349625064655
FDS49,OUT027,23.143641460005774
FDD48,OUT010,32.472906325486306
NCF18,OUT017,54.81512465144686
NCD43,OUT027,29.59859957979687
NCD54,OUT018,41.24613173001389
FDY19,OUT010,33.68063632359357
NCY54,OUT017,49.2255485655697
NCL19,OUT018,41.369476195764804
FDP23,OUT010,61.26784136417738
FDC26,OUT013,31.963921835781576
FDR14,OUT010,16.243328678093594
NCS41,OUT035,52.0382041471052
FDF41,OUT035,70.23703292604378
FDU34,OUT046,35.925790132289855
DRH11,OUT046,16.26536603199122
FDM03,OUT013,30.54269967378287
FDS31,OUT017,51.42306226390043
FDJ20,OUT017,35.332278534265136
FDV44,OUT027,53.560397689954456
FDG02,OUT049,53.34193605018181
FDA09,OUT013,51.04349703782892
FDT04,OUT013,11.587877069106073
FDL58,OUT019,74.50684106965606
FDE52,OUT045,25.767698109699452
FDW12,OUT035,41.02215096255925
FDL51,OUT017,61.33651616100299
NCY42,OUT027,40.25439622444686
FDR07,OUT017,28.192055170436433
FDN40,OUT045,43.11633922253327
FDB35,OUT027,25.95317444049769
FDA22,OUT017,46.87624007962091
NCL06,OUT046,74.39728976000046
FDI35,OUT013,51.53230813348659
NCW42,OUT045,63.08353989174131
NCX06,OUT049,51.37937841483094
FDC37,OUT027,30.948853321243444
FDZ14,OUT018,34.68545715343705
DRG49,OUT049,69.1951284626065
NCG06,OUT045,72.70631672807946
DRC36,OUT045,49.3610595975542
FDV21,OUT019,35.68255221670245
FDB53,OUT046,42.35837338449833
DRP47,OUT019,71.49144850405936
FDA14,OUT013,41.50867948669911
DRC24,OUT035,43.7006840350049
FDW21,OUT018,28.455189633340567
NCH29,OUT046,27.552860772555906
FDU58,OUT013,53.24709967673519
FDY27,OUT017,50.13204579113305
FDV56,OUT035,31.329775678803614
FDT59,OUT046,65.35367249839217
FDB23,OUT046,64.20718465276858
FDR49,OUT045,13.374441420028365
FDB03,OUT010,68.88669743481364
FDN39,OUT045,47.443810880053405
FDX02,OUT027,63.22875234053971
FDQ16,OUT027,30.837500733948204
FDU35,OUT018,28.196740504876146
NCT29,OUT013,34.86637672787653
FDZ27,OUT046,13.845143024628722
FDN57,OUT017,40.277030540413335
FDA03,OUT018,41.74639962931992
FDZ36,OUT045,52.39278860239997
NCU05,OUT013,23.319042991544784
FDT39,OUT018,42.6816326521304
FDK60,OUT017,28.065180629129003
FDZ25,OUT017,48.24935574093056
FDG12,OUT046,34.54933290197606
DRB01,OUT019,54.376203543525115
NCC43,OUT027,70.94766600830053
FDX13,OUT019,70.38516335213312
FDM22,OUT049,15.53598308104312
FDJ03,OUT027,14.298934699896833
FDU14,OUT018,70.94820781874222
FDB33,OUT010,45.471982606358175
FDP27,OUT046,53.8926340325722
FDO38,OUT010,22.34941770279806
FDE28,OUT027,65.74955482162746
FDO27,OUT035,27.052861171785263
DRL23,OUT027,30.636637591305856
FDS28,OUT046,16.0666612615709
FDX24,OUT013,26.335441211954635
FDZ02,OUT035,27.34226027762754
FDL46,OUT045,33.791867032838425
FDS60,OUT027,50.76438932563651
NCO06,OUT017,10.192242659272338
FDO16,OUT035,23.968317822267196
FDC60,OUT049,24.750196474481992
FDA48,OUT018,62.3878933133503
FDZ36,OUT027,52.90844983146041
FDK27,OUT045,34.36454698789233
FDW23,OUT018,11.133036132413778
FDM14,OUT018,31.542504679149435
FDM14,OUT013,31.00900065250971
FDW60,OUT018,50.13924789681525
FDE21,OUT013,33.27016751742432
NCM42,OUT035,30.95720378336124
FDY59,OUT010,26.72798053069754
DRI49,OUT049,23.506631387112225
FDT28,OUT019,43.05929644458728
FDQ22,OUT018,11.885134488123512
FDR60,OUT049,22.15759928744655
FDC50,OUT019,27.202185020086073
FDV24,OUT013,42.85606387472843
DRF48,OUT010,53.11347571056764
FDQ47,OUT046,10.592856945863623
DRN36,OUT049,28.03925213609897
NCY06,OUT035,36.81039349469139
FDE52,OUT035,25.599214389253163
NCB54,OUT045,36.01802798174476
NCF31,OUT035,43.244194238115064
FDJ08,OUT027,53.87317240214404
NCC07,OUT017,30.702170426993575
NCD19,OUT027,15.661292793656287
FDL46,OUT049,34.343051731504794
FDM20,OUT045,69.56986819601819
NCI06,OUT010,51.181332930195474
DRM11,OUT035,73.0863074275352
NCH07,OUT018,45.09715998678661
FDS23,OUT013,36.55038406790346
FDO49,OUT018,14.252135935524029
FDS35,OUT049,18.745987788460408
DRK39,OUT045,23.462056872478314
DRI39,OUT049,17.004828049704873
FDV04,OUT017,44.721833505457155
NCN14,OUT035,52.16032717244547
FDH08,OUT013,65.19813752937935
FDS20,OUT046,51.77402704330743
FDV40,OUT049,21.97028397176894
FDZ48,OUT010,31.88152464262214
FDS24,OUT027,25.158376726063594
FDK44,OUT049,49.74287225969507
FDS48,OUT045,42.935575665905354
FDK26,OUT010,52.69877924017685
FDD23,OUT045,53.36676069268899
NCH54,OUT017,45.96199276066151
NCP14,OUT010,30.290792166764135
FDM60,OUT010,11.551219978293412
FDV24,OUT017,42.71579983792826
FDH08,OUT018,64.5523483614158
FDS12,OUT027,36.43493792810389
FDR39,OUT027,51.29734579226317
FDP12,OUT027,10.817134571371563
DRF60,OUT027,66.96673339556754
FDC09,OUT035,29.554046956859775
FDF50,OUT018,55.955328914492995
FDG28,OUT035,68.89046466923777
NCE19,OUT017,15.978085334485959
NCM53,OUT010,31.270438020554945
NCN18,OUT049,31.528415836470966
FDF32,OUT035,56.67470811745099
FDF11,OUT013,67.67725077161954
DRI59,OUT049,63.64731558231486
NCG54,OUT035,48.145051668778464
FDM44,OUT046,29.030912064933954
FDT57,OUT018,67.02016963215854
